,PC,RA,SA1,FiringRate_value,Spikes_n_items,Spikes_diff_mean,depth,Pin_Radius,Spikes_diff_time_inrange,Frequency
0,1,0,0,95.3,168,0.010508982035928142,1.6000000000000012,1.0700000000000007,0.10300000000000001,95
1,1,0,0,130.6,135,0.007656716417910446,0.5800000000000003,1.390000000000001,0.0728,65
2,0,1,0,0.7627,1,-1.0,2.0400000000000014,1.380000000000001,-1.0,95
3,1,0,0,35.25,36,0.027142857142857142,1.300000000000001,0.8250000000000004,0.2718,55
4,1,0,0,65.06,108,0.015362616822429906,1.9800000000000015,0.5650000000000002,0.1514,65
5,1,0,0,0.903,1,-1.0,0.9600000000000006,0.49500000000000016,-1.0,5
6,1,0,0,0.818,1,-1.0,0.8800000000000006,1.470000000000001,-1.0,5
7,1,0,0,84.6,150,0.011750335570469799,2.1900000000000017,0.8200000000000005,0.1156,85
8,1,0,0,34.72,65,0.02854375,1.1400000000000008,0.6950000000000003,0.2846,35
9,0,0,1,5.996,6,0.14419999999999997,0.31,1.2200000000000009,-1.0,65
10,1,0,0,0.676,1,-1.0,1.1600000000000008,1.430000000000001,-1.0,15
11,1,0,0,52.56,53,0.018265384615384614,1.0100000000000007,1.460000000000001,0.18180000000000002,55
12,1,0,0,85.7,131,0.011736923076923075,0.8300000000000005,0.35000000000000003,0.1154,85
13,1,0,0,41.0,61,0.02352666666666667,1.7200000000000013,1.2300000000000009,0.23519999999999996,85
14,1,0,0,36.66,69,0.02665,2.6300000000000017,0.8500000000000005,0.2658,75
15,1,0,0,63.9,108,0.015375700934579439,2.700000000000002,0.9650000000000005,0.153,65
16,0,1,0,3.002,4,0.24219999999999997,1.5700000000000012,0.9500000000000006,-1.0,55
17,1,0,0,65.44,87,0.015334883720930233,1.300000000000001,1.0400000000000007,0.1502,65
18,1,0,0,55.25,68,0.01813134328358209,1.320000000000001,0.4050000000000001,0.1794,55
19,1,0,0,24.14,38,0.03997837837837837,0.8500000000000005,1.2500000000000009,0.3998,25
20,0,1,0,23.67,45,0.04088636363636364,1.480000000000001,1.1700000000000008,0.4422,65
21,1,0,0,85.8,124,0.011733333333333332,1.260000000000001,1.0550000000000006,0.11520000000000001,85
22,1,0,0,33.9,36,0.02853142857142857,2.0500000000000016,0.4150000000000001,0.28479999999999994,35
23,0,1,0,99.25,183,0.009987912087912089,0.48000000000000015,1.2250000000000008,0.1078,65
24,0,1,0,0.9165,1,-1.0,1.8300000000000014,0.8400000000000005,-1.0,55
25,1,0,0,45.4,85,0.02216190476190476,1.2300000000000009,0.4500000000000001,0.2194,45
26,0,1,0,78.3,146,0.012637241379310346,0.5700000000000003,1.4950000000000012,0.13219999999999998,95
27,0,1,0,6.34,11,0.14024,1.440000000000001,1.310000000000001,1.4024,15
28,1,0,0,295.0,511,0.003390588235294118,0.31,0.8750000000000004,0.04239999999999999,75
29,1,0,0,15.33,27,0.06591538461538461,0.7100000000000004,1.0600000000000007,0.6502,15
30,1,0,0,224.4,230,0.004437554585152838,0.5600000000000003,0.8450000000000004,0.0434,75
31,1,0,0,243.8,390,0.004077634961439589,1.2000000000000008,0.315,0.0574,85
32,1,0,0,22.23,30,0.042806896551724136,1.8100000000000014,0.335,0.4276,35
33,0,1,0,232.5,328,0.004279510703363914,0.4100000000000001,0.6250000000000002,0.0538,95
34,1,0,0,74.9,146,0.013315862068965519,1.7200000000000013,1.425000000000001,0.1312,75
35,0,1,0,22.39,33,0.0429875,0.6200000000000003,0.8550000000000004,0.5188,15
36,1,0,0,98.8,123,0.010027868852459017,0.8100000000000005,0.6100000000000003,0.1138,35
37,1,0,0,161.2,176,0.006043428571428571,1.0300000000000007,0.5550000000000002,0.078,85
38,1,0,0,35.0,65,0.028062500000000004,0.5600000000000003,0.8300000000000005,0.2768,25
39,0,1,0,40.75,55,0.023507407407407407,1.7000000000000013,1.0150000000000006,0.235,85
40,0,1,0,41.0,49,0.023500000000000004,1.7100000000000013,0.325,0.23419999999999996,85
41,1,0,0,149.6,263,0.0066503816793893125,0.7200000000000004,0.7850000000000004,0.0628,75
42,1,0,0,105.0,201,0.009559999999999999,0.48000000000000015,0.46500000000000014,0.09240000000000001,35
43,1,0,0,31.19,39,0.0308578947368421,1.7000000000000013,0.36000000000000004,0.3072,65
44,0,1,0,63.5,93,0.0154,0.6300000000000003,0.49500000000000016,0.15360000000000001,65
45,1,0,0,176.9,318,0.005601261829652996,0.36000000000000004,0.47000000000000014,0.065,45
46,1,0,0,48.0,57,0.02006428571428571,1.390000000000001,1.440000000000001,0.2036,75
47,1,0,0,189.2,208,0.005270531400966185,0.8500000000000005,1.0600000000000007,0.0548,95
48,0,1,0,26.83,42,0.03610243902439024,2.1200000000000014,0.8850000000000005,0.3752,75
49,0,1,0,0.879,1,-1.0,1.5800000000000012,0.6350000000000002,-1.0,75
50,0,1,0,21.12,29,0.043335714285714276,1.9200000000000015,1.0150000000000006,0.4492,85
51,1,0,0,127.06,157,0.007825641025641025,1.0400000000000007,0.36500000000000005,0.08320000000000001,65
52,1,0,0,283.2,548,0.003522120658135283,0.8300000000000005,0.8450000000000004,0.0394,95
53,1,0,0,33.22,50,0.02880408163265306,2.0900000000000016,1.3050000000000008,0.2812,85
54,0,1,0,34.88,68,0.028143283582089552,0.8300000000000005,0.9200000000000006,0.28500000000000003,35
55,1,0,0,13.22,26,0.073768,2.7500000000000018,0.8000000000000005,0.6888,45
56,1,0,0,35.53,40,0.028358974358974356,1.270000000000001,0.6100000000000003,0.2786,35
57,1,0,0,46.6,64,0.02104126984126984,1.6700000000000013,0.5200000000000002,0.2068,95
58,0,1,0,5.125,6,0.15716000000000002,1.6300000000000012,1.280000000000001,-1.0,75
59,1,0,0,1.791,3,0.5464,2.640000000000002,0.5900000000000003,-1.0,75
60,0,1,0,90.0,119,0.010791525423728812,0.6700000000000004,0.5100000000000002,0.11620000000000001,95
61,0,1,0,32.97,55,0.028925925925925928,1.480000000000001,0.9900000000000007,0.29319999999999996,55
62,0,1,0,145.4,258,0.006821789883268483,0.5100000000000002,0.335,0.0782,65
63,0,1,0,2.115,4,0.5405333333333332,2.0200000000000014,0.9100000000000006,-1.0,45
64,1,0,0,75.7,110,0.013297247706422018,0.4100000000000001,0.8350000000000004,0.1308,75
65,1,0,0,280.5,555,0.0035494584837545127,1.0600000000000007,1.1500000000000008,0.0476,95
66,1,0,0,65.75,66,0.01532,1.1600000000000008,1.2000000000000008,0.1504,65
67,1,0,0,36.8,48,0.026646808510638297,2.6700000000000017,1.1900000000000008,0.26599999999999996,75
68,0,1,0,1.176,2,0.42079999999999995,1.7100000000000013,1.4150000000000011,-1.0,95
69,1,0,0,122.4,167,0.007898795180722892,1.0900000000000007,0.7800000000000005,0.08520000000000001,75
70,0,1,0,6.24,9,0.14079999999999998,2.0000000000000013,0.9600000000000006,-1.0,55
71,0,1,0,24.25,42,0.03967804878048781,2.1900000000000017,1.270000000000001,0.3888,75
72,0,1,0,2.695,3,0.4866999999999999,0.6700000000000004,1.445000000000001,-1.0,5
73,1,0,0,34.0,58,0.02853684210526316,2.0200000000000014,1.2100000000000009,0.28459999999999996,35
74,1,0,0,220.6,374,0.004529758713136729,0.9700000000000006,0.5550000000000002,0.060200000000000004,75
75,1,0,0,29.0,49,0.033308333333333336,1.9100000000000015,0.9700000000000006,0.3324,45
76,1,0,0,33.75,49,0.02855416666666666,0.9900000000000007,1.290000000000001,0.285,35
77,1,0,0,186.0,365,0.005343956043956044,1.8000000000000014,1.420000000000001,0.06860000000000001,95
78,1,0,0,28.56,47,0.033756521739130435,1.9600000000000015,1.350000000000001,0.33699999999999997,65
79,0,1,0,53.94,95,0.01815531914893617,0.6600000000000004,1.2150000000000007,0.1792,55
80,1,0,0,15.61,21,0.06584999999999999,0.6400000000000003,0.39000000000000007,0.6608,15
81,0,1,0,44.1,72,0.02223098591549296,0.8800000000000006,0.4450000000000001,0.2218,45
82,1,0,0,86.8,112,0.011454054054054053,0.7000000000000004,1.300000000000001,0.13119999999999998,45
83,1,0,0,280.0,407,0.003550738916256157,0.4300000000000001,1.390000000000001,0.0436,95
84,0,1,0,147.6,226,0.006752,0.5300000000000002,0.6100000000000003,0.0762,75
85,1,0,0,55.03,63,0.018129032258064514,1.5500000000000012,0.34,0.1792,55
86,0,1,0,126.94,241,0.007795,0.5000000000000002,1.375000000000001,0.0912,75
87,1,0,0,41.3,52,0.02330196078431373,1.6500000000000012,0.5550000000000002,0.2328,45
88,0,1,0,132.8,164,0.007428220858895705,0.4300000000000001,0.5950000000000002,0.0918,85
89,1,0,0,253.4,390,0.003933676092544988,0.6900000000000004,0.5100000000000002,0.0444,85
90,1,0,0,53.16,67,0.01843636363636364,1.6300000000000012,0.325,0.19060000000000002,55
91,1,0,0,45.56,59,0.02193448275862069,0.7100000000000004,0.6150000000000002,0.2362,25
92,0,1,0,106.2,115,0.009208771929824562,0.4100000000000001,0.5250000000000001,0.1024,55
93,0,1,0,31.47,47,0.030669565217391306,1.6500000000000012,0.38000000000000006,0.3036,65
94,0,1,0,87.6,131,0.011224615384615385,0.46000000000000013,0.8650000000000004,0.1252,45
95,1,0,0,313.8,472,0.0031876857749469217,0.4100000000000001,0.5600000000000003,0.045399999999999996,85
96,0,0,1,0.7217,1,-1.0,0.36000000000000004,1.1700000000000008,-1.0,35
97,1,0,0,105.6,164,0.00949079754601227,0.4100000000000001,0.8200000000000005,0.0922,35
98,1,0,0,279.2,435,0.0035608294930875575,1.0900000000000007,1.405000000000001,0.0476,95
