,PC,PC,RA,RA,SA1,SA1,FiringRate_value,Spikes_n_items,Spikes_diff_mean,depth,Pin_Radius,Spikes_diff_time_inrange,Spikes_diff_mean_2,Spikes_diff_mean_5,Frequency
0,1,1,0,0,0,0,95.3,168,0.021028915662650603,1.6000000000000012,1.0700000000000007,0.10300000000000001,0.021028915662650603,0.052596319018404905,95
1,1,1,0,0,0,0,130.6,135,0.01533233082706767,0.5800000000000003,1.390000000000001,0.0728,0.01533233082706767,0.038384615384615385,65
2,1,1,0,0,0,0,35.25,36,0.054482352941176475,1.300000000000001,0.8250000000000004,0.2718,0.054482352941176475,0.13616774193548387,55
3,1,1,0,0,0,0,65.06,108,0.03073396226415094,1.9800000000000015,0.5650000000000002,0.1514,0.03073396226415094,0.07686990291262136,65
4,1,1,0,0,0,0,84.6,150,0.023505405405405404,2.1900000000000017,0.8200000000000005,0.1156,0.023505405405405404,0.05878620689655173,85
5,1,1,0,0,0,0,34.72,65,0.05710793650793651,1.1400000000000008,0.6950000000000003,0.2846,0.05710793650793651,0.1428033333333333,35
6,1,1,0,0,0,0,52.56,53,0.03643529411764706,1.0100000000000007,1.460000000000001,0.18180000000000002,0.03643529411764706,0.09096249999999999,55
7,1,1,0,0,0,0,85.7,131,0.02349302325581395,0.8300000000000005,0.35000000000000003,0.1154,0.02349302325581395,0.05877460317460318,85
8,1,1,0,0,0,0,41.0,61,0.0470542372881356,1.7200000000000013,1.2300000000000009,0.23519999999999996,0.0470542372881356,0.11762142857142856,85
9,1,1,0,0,0,0,36.66,69,0.05330746268656716,2.6300000000000017,0.8500000000000005,0.2658,0.05330746268656716,0.133290625,75
10,1,1,0,0,0,0,63.9,108,0.030750943396226405,2.700000000000002,0.9650000000000005,0.153,0.030750943396226405,0.07689126213592233,65
11,1,1,0,0,0,0,65.44,87,0.030703529411764706,1.300000000000001,1.0400000000000007,0.1502,0.030703529411764706,0.07683658536585367,65
12,1,1,0,0,0,0,55.25,68,0.03629090909090909,1.320000000000001,0.4050000000000001,0.1794,0.03629090909090909,0.09080317460317461,55
